candidate_family,item_name,year,prefecture_code,prefecture_name,sex,age_group,value,missing_state,source_release_no,source_file
diabetes_metabolic,BMI,2013,03,岩手県,female,50-54,22.6741365361877,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,female,55-59,22.8220438460211,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,female,60-64,23.030804391876,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,female,65-69,23.2582582582583,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,female,70-74,23.3372647775072,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,BMI,2013,03,岩手県,female,total,22.8907285639137,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,male,40-44,84.6399007898286,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,male,45-49,85.2370907414049,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,male,50-54,85.2246548987543,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,male,55-59,85.1322072716863,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,male,60-64,84.9727542949267,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,male,65-69,84.686462238063,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,male,70-74,84.4181031266323,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,male,total,84.9327328149109,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,female,40-44,78.24140969163,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,female,45-49,79.4240778047933,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
diabetes_metabolic,waist_circumference,2013,03,岩手県,female,50-54,80.3059911565049,observed,1,各項目の平均値　都道府県別性年齢階級別分布.xlsx
